lavangen_04gk: 361 utterances, 6631 original words, 6697 normalized words
lh: --skipped--
lierne_01um: 274 utterances, 1647 original words, 1685 normalized words
lierne_02uk: 358 utterances, 3562 original words, 3664 normalized words
lierne_03gm: 322 utterances, 5836 original words, 5852 normalized words
lierne_04gk: 226 utterances, 2825 original words, 2845 normalized words
lindaas_01um: 68 utterances, 990 original words, 994 normalized words
lindaas_02uk: 40 utterances, 693 original words, 693 normalized words
lindaas_03gm: 349 utterances, 5248 original words, 5258 normalized words
lindaas_04gk: 254 utterances, 3601 original words, 3635 normalized words
lks: --skipped--
lom_01um: 176 utterances, 2492 original words, 2500 normalized words
lom_02uk: 147 utterances, 1677 original words, 1691 normalized words
lom_03gm: 234 utterances, 3938 original words, 3950 normalized words
lom_04gk: 271 utterances, 4205 original words, 4213 normalized words
lommedalen_01um: 290 utterances, 4512 original words, 4551 normalized words
lommedalen_02uk: 232 utterances, 2863 original words, 2883 normalized words
lommedalen_03gm: 210 utterances, 4236 original words, 4268 normalized words
lommedalen_04gk: 226 utterances, 4044 original words, 4100 normalized words
luster_01um: 238 utterances, 3433 original words, 3437 normalized words
luster_02uk: 197 utterances, 2211 original words, 2239 normalized words
luster_03gm: 185 utterances, 1986 original words, 1996 normalized words
luster_04gk: 229 utterances, 3341 original words, 3385 normalized words
luster_06uk: 442 utterances, 5896 original words, 5900 normalized words
lyngdal_01um: 160 utterances, 1866 original words, 1876 normalized words
lyngdal_02uk: 185 utterances, 2982 original words, 2990 normalized words
lyngdal_03gm: 257 utterances, 4220 original words, 4226 normalized words
lyngdal_04gk: 195 utterances, 3202 original words, 3216 normalized words
ma: --skipped--
medby_74: 272 utterances, 2740 original words, 2780 normalized words
medby_75: 186 utterances, 1766 original words, 1774 normalized words
mefjordvaer_19: 242 utterances, 3785 original words, 3815 normalized words
mefjordvaer_20: 296 utterances, 5741 original words, 5763 normalized words
meraaker_01um: 216 utterances, 2906 original words, 2911 normalized words
meraaker_02uk: 247 utterances, 4291 original words, 4342 normalized words
meraaker_03gm: 373 utterances, 4607 original words, 4641 normalized words
meraaker_04gk: 400 utterances, 4737 original words, 4779 normalized words
mi: --skipped--
mj: --skipped--
mn: --skipped--
mo_i_rana_01um: 208 utterances, 1405 original words, 1419 normalized words
