Fileid,D,W,ar,d,er,h,j,jj,l,n,r,s,t,tt,v,vv,w,wv,ww,yr,ä,är,δ
38a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766917,0.0,0.135338,0.0676692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.785047,0.0,0.0841122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39a,0.0,0.0,0.0,0.0,0.0,0.0,0.371429,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
39b,0.0,0.0,0.0,0.0,0.0,0.0731707,0.682927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836066,0.0,0.0,0.0,0.147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907258,0.0,0.0,0.0,0.0564516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235
41b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544554,0.0,0.0,0.0,0.158416,0.0792079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217822
42a,0.0,0.0,0.0,0.0,0.0,0.106383,0.12766,0.0,0.0,0.0,0.0,0.0,0.276596,0.0,0.297872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42b,0.0909091,0.0,0.0,0.0,0.0,0.0,0.290909,0.0,0.0,0.0,0.0,0.0,0.109091,0.0,0.290909,0.109091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
